image_link,group_id,entity_name,entity_value,text
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,"100% NATUR

"
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,"GEPRAGTES

Designed in

LIZENZIERTE UND GESCHUTZTE DESIGNS
"
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,"Serving Size: 1 Tablet (0.709 g) | Each serving contains (Approx. Values):

Ingredient Oty. / Serving

*PHOSPHOcomplex® Silybin (Sillybum marianum) 200 mg
Dandelion (Taraxacum officinale) leaf extract - 10:1 100 mg
Kutki (Picrorhiza kurroa)rhizome extract - 0.5% Bitters 50 mg
Kasani (Cichorium intybus) seed extract - 1% Bitters 25 mg
Punarnava (Boerhavia diffusa) root extract - 0.07% alkaloids 25 mg
Bhui amla (Phyllanthus amarus) WP extract - 0.5% Bitters 25 mg
Amla (Phyllanthus emblica) fruit extract - 10% Tannins 25 mg
Licorice (Glycyrrhiza glabra) root extract - 5% Glycyrrhizin 25 mg
Vitamin E 10 mg
Piper nigrum fruit extract — 95% Piperine 5mg

Nutrients Qty. / Serving

Energy 3.04 kcal
Carbohydrate 051g
(Sugars) 02g
Protein 0.049
Fat 0.09 g

""ZRDA values established as per ICMR 2010 for sedentary lifestyle-Men.
**Z RDA not established by ICMR

"
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,"HIGH STRENGTH

PSYLLIUM

HUSK

"
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,"¢ Naturally-Sourced Psyllium

—_

* High strength 1400mg
per serving
Ta a aes ein Laie ss

PLANTAGO
Co
PLANT SEEDs a

aoe 365 Vecaul)

|
a

* Suitable for Vegans & Vegetarians

 ,

Horbaach
"
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,"Directions: For adults, take two (2) vegan capsules
daily, preferably with a meal. Do not exceed stated dose.

Nutrition Information

Typically Per Daily Dose

HIGH ST 0 NSTI it Erte
Psyllium Husk Powder 1400mg

_PSYLLIUM
HUSK

PLANTAGO OVATA
PLANT SEEDS

Ingredients: Psyllium Husk Powder, Capsule Shell (Hy-
droxypropylmethylcellulose), Anti-Caking Agents (Mag-
nesium Salts of Fatty Acids, Silicon Dioxide).

May contain Sesame Seeds & Mustard. For allergens,
see the ingredients in bold.

Notice: Take this product with 220ml of fluids. Taking
this product without adequate fluid may cause the pos-
sibility of choking. Do not use this product if you have
difficulty swallowing. If you experience chest pain, vom-
iting or difficulty in swallowing or breathing after taking
this product, seek immediate medical attention. Do not
take before sleeping. Fibre products can affect the ab-
sorption of many medications. Do not take this product
within 1.5 hours of taking medication.

Free From: Artificial Colour, Artificial Flavour, Artificial
Sweetener, Preservatives.

SUITABLE FOR VEGETARIANS & VEGANS

HU16790 C

3 6 a

Horbaach
"
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,"©)

VEGAN

WO

WHEAT
FREE

SOY

psy
a: & (a)

‘ DAIRY
| 365° ECs y ple
é
FREE FROM

PRESERVATIVES

Horbaach
"
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,"Horbaach

100%

HIGHEST
QUALITY

HIGH STRENGTH

pSYLLIUM
HUSK

PLANTAGO OVATA
PLANT SEEDS

Pe

Horbaach
"
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,"NEW LOOK.
SAME Nea LES QUALITY.

Mame PSYLLIUM

PLANT SEEDS

ih Y/
\ 4
FOOD
SUPPLEMENT oO) CAPSULES a
365 VEGAN
~— IO) cars LES

~ Horbaach
"
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,"GroBe Kapazitat, Tiragfahigkeit bis zu 30KG

4m Das Material ist ca. 5mm dick und die Fugen sind verstarkt, so dass
W es sehr stark ist.

Tragfahigkeit bis zu 30KG, kann eine Vielzahl von Gegenstanden ;

— %
oJ vi i . Ss ae
. . of
\ . ..
be x

©
| 39] aufnehmen.

_—

<o

"
https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram,")

WILDFANG

35cm

14cm 15cm 16cm

<10 kg 10-5kg 15-25kg 2545kg >45kg

"
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce,"‘
f 5
&i Helps in * )
“osteoarthritis Helps in
mee digestion
“Reduces.
inflammation
me
(Ml

Anti-bacterial
properties ,

Helps in

"
https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,281678,item_weight,3.53 ounce,"PROMOTES —™

DIGESTIVE HEALTH
HIGH IN ANTIOXIDANTS
+ COMBATS DISEASES

"
